**Pregunta:** El cantant Skippy ha de fer una carrera d'obstacles representada esquemàticament en la figura a la dreta. Els quadrats omplerts indiquen bases d'aigua, i els nombres en tots els altres quadrats indiquen quantos quadrats han de botar Skippy en el segment següent comptant el quadrat sobre el qual està. Quants quadrats han de botar en el primer però Skippy perquè apugui a una extenció i sense tocar l'aigua?

**Opcions:**
A) 5
B) 3
C) 2
D) 1
E) És impossible.

**Racionalització:**
1. Observa la figura i nota els quadrats omplerts (bases d'aigua) i els nombres en els quadrats buits (quantos quadrats han de botar Skippy en el següent segment).
2. Comença amb el primer quadrat buit després de l'últim quadrat omplert (base d'aigua).
3. Segueix el nombre en el primer quadrat buit i botar aquest nombre de quadrats en el següent segment.
4. Repite aquest procés per a cada segment següent.
5. A la primera base d'aigua, Skippy ha de botar 2 quadrats.
362. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
363. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
364. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
365. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
366. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
367. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
368. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
369. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
370. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
371. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
372. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
373. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
374. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
375. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
376. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
377. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
378. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
379. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
380. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
381. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
382. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
383. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
384. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
385. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
386. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
387. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
388. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
389. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
390. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
391. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
392. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
393. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
394. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
395. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
396. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
397. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
398. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
399. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
400. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
401. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
402. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
403. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
404. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
405. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
406. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
407. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
408. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
409. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
410. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
411. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
412. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
413. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
414. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
415. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
416. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
417. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
418. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
419. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
420. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
421. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
422. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
423. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
424. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
425. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
426. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
427. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
428. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
429. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
430. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
431. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
432. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
433. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
434. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
435. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
436. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
437. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
438. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
439. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
440. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
441. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
442. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
443. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
444. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
445. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
446. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
447. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
448. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
449. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
450. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
451. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
452. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
453. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
454. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
455. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
456. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
457. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
458. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
459. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
460. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
461. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
462. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
463. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
464. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
465. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
466. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
467. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
468. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
469. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
470. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
471. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
472. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
473. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
474. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
475. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
476. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
477. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
478. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
479. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
480. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
481. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
482. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
483. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
484. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
485. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
486. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
487. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
488. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
489. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
490. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
491. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
492. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
493. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
494. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
495. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
496. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
497. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
498. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
499. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
500. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
501. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
502. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
503. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
504. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
505. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
506. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
507. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
508. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
509. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
510. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
511. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
512. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
513. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
514. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
515. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
516. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
517. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
518. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
519. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
520. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
521. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
522. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
523. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
524. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
525. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
526. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
527. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
528. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
529. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
530. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
531. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
532. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
533. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
534. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
535. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
536. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
537. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
538. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
539. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
540. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
541. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
542. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
543. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
544. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
545. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
546. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
547. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
548. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
549. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
550. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
551. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
552. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
553. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
554. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
555. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
556. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
557. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
558. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
559. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
560. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
561. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
562. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
563. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
564. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
565. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
566. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
567. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
568. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
569. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
570. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
571. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
572. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
573. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
574. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
575. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
576. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
577. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
578. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
579. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
580. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
581. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
582. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
583. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
584. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
585. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
586. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
587. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
588. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
589. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
590. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
591. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
592. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
593. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
594. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
595. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
596. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
597. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
598. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
599. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
600. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
601. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
602. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
603. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
604. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
605. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
606. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
607. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
608. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
609. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
610. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
611. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
612. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
613. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
614. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
615. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
616. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
617. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
618. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
619. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
620. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
621. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
622. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
623. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
624. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
625. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
626. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
627. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
628. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
629. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
630. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
631. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
632. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
633. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
634. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
635. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
636. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
637. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
638. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
639. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
640. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
641. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
642. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
643. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
644. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
645. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
646. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
647. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
648. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
649. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
650. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
651. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
652. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
653. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
654. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
655. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
656. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
657. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
658. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
659. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
660. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
661. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
662. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
663. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
664. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
665. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
666. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
667. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
668. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
669. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
670. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
671. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
672. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
673. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
674. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
675. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
676. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
677. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
678. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
679. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
680. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
681. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
682. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
683. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
684. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
685. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
686. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
687. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
688. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
689. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
690. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
691. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
692. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
693. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
694. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
695. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
696. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
697. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
698. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
699. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
700. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
701. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
702. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
703. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
704. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
705. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
706. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
707. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
708. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
709. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
710. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
711. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
712. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
713. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
714. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
715. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
716. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
717. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
718. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
719. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
720. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
721. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
722. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
723. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
724. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
725. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
726. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
727. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
728. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
